Period,Sector,ABN,Institution Name,Service Channel Type,State,sa4_code,sa3_code,sa2_code,suburb,Lat,Lon,ra_code,Number
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Lower North,Clare,Armagh,-33.83259,138.58078,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Lower North,Gilbert Valley,Riverton (SA),-34.15935,138.74758,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Lower North,Wakefield - Barunga West,Balaklava,-34.14628,138.4137,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Mid North,Jamestown,Jamestown,-33.20592,138.60456,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Mid North,Jamestown,Jamestown,-33.20489,138.60489,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Mid North,Port Pirie,Port Pirie,-33.17901,138.01058,Outer Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Kadina,Kadina,-33.96383,137.71432,Outer Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Yorke Peninsula - North,Minlaton,-34.77281,137.59541,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Yorke Peninsula - North,Maitland (SA),-34.37401,137.67272,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Yorke Peninsula - South,Yorketown,-35.01876,137.6034,Remote Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Bendigo,Bendigo,Bendigo,Bendigo,-36.7623,144.28182,Inner Regional Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,VIC,Bendigo,Heathcote - Castlemaine - Kyneton,Kyneton,Kyneton,-37.24984,144.45433,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - East,Capalaba,Capalaba,Capalaba,-27.52322,153.19523,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - East,Cleveland - Stradbroke,Cleveland,Cleveland (Qld),-27.52515,153.26881,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - North,Chermside,Chermside,Chermside,-27.38353,153.03009,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - North,Sandgate,Sandgate - Shorncliffe,Sandgate (Qld),-27.31942,153.06936,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - South,Carindale,Carindale,Carindale,-27.50315,153.10165,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - South,Mt Gravatt,Mount Gravatt,Mount Gravatt,-27.53657,153.07782,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - South,Nathan,Robertson,Sunnybank,-27.57107,153.06102,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - South,Rocklea - Acacia Ridge,Parkinson - Drewvale,Parkinson,-27.65391,153.04032,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - South,Rocklea - Acacia Ridge,Rocklea - Acacia Ridge,Acacia Ridge,-27.57322,153.02393,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - South,Sunnybank,Sunnybank Hills,Sunnybank Hills,-27.61137,153.05425,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - South,Sunnybank,Sunnybank Hills,Sunnybank Hills,-27.61065,153.05559,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - West,Centenary,Jindalee - Mount Ommaney,Mount Ommaney,-27.54955,152.93884,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - West,Sherwood - Indooroopilly,Indooroopilly,Indooroopilly,-27.49912,152.97291,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - West,The Gap - Enoggera,Mitchelton,Mitchelton,-27.40988,152.98047,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane - West,The Gap - Enoggera,Mitchelton,Mitchelton,-27.40903,152.9798,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner,Brisbane City,Brisbane City,-27.46922,153.02526,Major Cities of Australia,4
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner,Brisbane City,Brisbane City,-27.46666,153.02855,Major Cities of Australia,4
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner - East,Morningside - Seven Hills,Morningside,-27.46803,153.07147,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner - North,Newstead - Bowen Hills,Newstead (Qld),-27.45007,153.04205,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner - West,Ashgrove,Ashgrove,-27.44516,152.99264,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner - West,Toowong,Toowong,-27.4851,152.9927,Major Cities of Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,WA,Bunbury,Augusta - Margaret River - Busselton,Busselton - East,Busselton,-33.65014,115.34423,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,WA,Bunbury,Augusta - Margaret River - Busselton,Margaret River,Margaret River (WA),-33.95242,115.07302,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,WA,Bunbury,Bunbury,South Bunbury - Bunbury,Bunbury (WA),-33.32578,115.63711,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Cairns - North,Trinity Beach - Smithfield,Smithfield (Qld),-16.83865,145.69219,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Cairns - South,Cairns City,Cairns City,-16.92494,145.77188,Outer Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Cairns - South,Cairns City,Cairns City,-16.92067,145.77688,Outer Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Cairns - South,Earlville - Bayview Heights,Earlville,-16.9442,145.74008,Outer Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Innisfail - Cassowary Coast,Innisfail,Innisfail,-17.52446,146.03048,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Port Douglas - Daintree,Daintree,Mossman,-16.45947,145.37348,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Port Douglas - Daintree,Port Douglas,Port Douglas,-16.48211,145.46286,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Tablelands (East) - Kuranda,Atherton,Atherton,-17.26624,145.47532,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Cairns,Tablelands (East) - Kuranda,Mareeba,Mareeba,-16.99315,145.42306,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Capital Region,Goulburn - Mulwaree,Goulburn,Goulburn,-34.75438,149.71838,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Capital Region,Snowy Mountains,Cooma,Cooma (NSW),-36.23541,149.1262,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Capital Region,South Coast,Batemans Bay,Batemans Bay,-35.70752,150.17747,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Capital Region,South Coast,Bega - Tathra,Bega,-36.6744,149.8421,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Capital Region,Young - Yass,Young,Young,-34.31293,148.29621,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Central Coast,Gosford,Gosford - Springfield,Gosford,-33.42553,151.34184,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Central Coast,Wyong,Bateau Bay - Killarney Vale,Bateau Bay,-33.37476,151.47325,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Central Coast,Wyong,Tuggerah - Kangy Angy,Tuggerah,-33.30761,151.40993,Major Cities of Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Biloela,Banana,Moura,-24.57089,149.97023,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Biloela,Biloela,Biloela,-24.40045,150.51216,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Central Highlands (Qld),Central Highlands - East,Blackwater,-23.57477,148.88909,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Central Highlands (Qld),Emerald,Emerald (Qld),-23.52558,148.15906,Outer Regional Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Gladstone,Gladstone,Gladstone Central,-23.84664,151.25871,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Rockhampton,Norman Gardens,Norman Gardens,-23.33335,150.51836,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Rockhampton,Park Avenue,Park Avenue,-23.3541,150.5235,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Rockhampton,Rockhampton City,Rockhampton City,-23.38041,150.51294,Inner Regional Australia,3
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Central Queensland,Rockhampton,Yeppoon,Yeppoon,-23.12933,150.74844,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Central West,Bathurst,Bathurst - South,Bathurst,-33.41801,149.58134,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Central West,Orange,Orange,Orange,-33.28376,149.09929,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Coffs Harbour - Grafton,Clarence Valley,Grafton,Grafton,-29.69172,152.93626,Inner Regional Australia,2
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Coffs Harbour - Grafton,Coffs Harbour,Coffs Harbour - South,Coffs Harbour,-30.29804,153.1164,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,NSW,Coffs Harbour - Grafton,Coffs Harbour,Coffs Harbour - South,Coffs Harbour,-30.29804,153.11681,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Darling Downs - Maranoa,Darling Downs - East,Wambo,Dalby,-27.18183,151.26613,Inner Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Darling Downs - Maranoa,Darling Downs (West) - Maranoa,Chinchilla,Chinchilla,-26.74093,150.62892,Outer Regional Australia,1
30/06/2024,MAJ,11005357522,Australia and New Zealand Banking Group Limited,ATMs,QLD,Darling Downs - Maranoa,Darling Downs (West) - Maranoa,Goondiwindi,Goondiwindi,-28.54716,150.30573,Outer Regional Australia,1
