Period,Sector,ABN,Institution Name,Service Channel Type,State,sa4_code,sa3_code,sa2_code,suburb,Lat,Lon,ra_code,Number
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,ACT,Australian Capital Territory,North Canberra,Civic,City,-35.278117,149.126122,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,ACT,Australian Capital Territory,South Canberra,Barton,Barton,-35.30994,149.1376,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,ACT,Australian Capital Territory,South Canberra,Barton,Barton,-35.304829,149.135499,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,NSW,Capital Region,Goulburn - Mulwaree,Goulburn,Goulburn,-34.735177,149.730563,Inner Regional Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,NSW,Illawarra,Wollongong,Wollongong - East,Wollongong,-34.42331,150.89398,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,NSW,Newcastle and Lake Macquarie,Newcastle,Newcastle - Cooks Hill,Newcastle,-32.92796,151.78254,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,NSW,Sydney - City and Inner South,Sydney Inner City,Surry Hills,Surry Hills,-33.87975,151.21248,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,NSW,Sydney - City and Inner South,Sydney Inner City,Surry Hills,Surry Hills,-33.878765,151.212906,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,NSW,Sydney - Outer South West,Campbelltown (NSW),Campbelltown - Woodbine,Campbelltown (NSW),-34.062595,150.817198,Major Cities of Australia,1
30/06/2024,AUS,95087650799,Police Bank Ltd,ATMs,NSW,Sydney - Parramatta,Parramatta,Parramatta - North,Parramatta,-33.81755,151.0081,Major Cities of Australia,2
30/06/2024,AUS,33087651661,Police Financial Services Limited,ATMs,VIC,Melbourne - Inner,Melbourne City,Docklands,Docklands,-37.81412651,144.9514958,Major Cities of Australia,1
30/06/2024,AUS,33087651661,Police Financial Services Limited,ATMs,VIC,Melbourne - Inner,Melbourne City,Melbourne CBD - West,Melbourne,-37.81380851,144.9521091,Major Cities of Australia,1
30/06/2024,AUS,33087651661,Police Financial Services Limited,ATMs,VIC,Melbourne - Inner,Melbourne City,Melbourne CBD - West,Melbourne,-37.81370596,144.9517609,Major Cities of Australia,1
30/06/2024,AUS,33087651661,Police Financial Services Limited,ATMs,VIC,Melbourne - South East,Monash,Glen Waverley - East,Glen Waverley,-37.89125847,145.1747096,Major Cities of Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Coffs Harbour - Grafton,Coffs Harbour,Coffs Harbour - South,Coffs Harbour,-30.298501,153.116312,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Far West and Orana,Bourke - Cobar - Coonamble,Cobar,Cobar,-31.497718,145.837384,Remote Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Far West and Orana,Dubbo,Coonabarabran,Coonabarabran,-31.274818,149.277601,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Far West and Orana,Dubbo,Dubbo - South,Dubbo,-32.247212,148.601586,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Hunter Valley exc Newcastle,Port Stephens,Tea Gardens - Hawks Nest,Tea Gardens,-32.652407,152.150096,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Hunter Valley exc Newcastle,Upper Hunter,Muswellbrook,Muswellbrook,-32.282806,150.896304,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Hunter Valley exc Newcastle,Upper Hunter,Scone,Scone,-32.05183,150.8671,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Hunter Valley exc Newcastle,Upper Hunter,Scone Surrounds,Merriwa (NSW),-32.139091,150.355981,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Mid North Coast,Great Lakes,Tuncurry,Tuncurry,-32.174986,152.499056,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Mid North Coast,Port Macquarie,Laurieton - Bonny Hills,Laurieton,-31.649155,152.796953,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Mid North Coast,Port Macquarie,Wauchope,Wauchope,-31.456876,152.731916,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Mid North Coast,Taree - Gloucester,Gloucester,Gloucester,-32.006596,151.958767,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Mid North Coast,Taree - Gloucester,Taree,Taree,-31.910982,152.461135,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,Mid North Coast,Taree - Gloucester,Wingham,Wingham,-31.867994,152.37151,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Armidale,Armidale,Armidale,-30.514391,151.665211,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Armidale,Armidale Surrounds - North,Guyra,-30.218499,151.671636,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Armidale,Armidale Surrounds - South,Uralla (NSW),-30.64142162,151.5010608,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Armidale,Walcha,Walcha,-30.984694,151.593493,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Inverell - Tenterfield,Glen Innes,Glen Innes,-29.738173,151.73512,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Inverell - Tenterfield,Inverell,Inverell,-29.77241373,151.1140152,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Inverell - Tenterfield,Inverell Surrounds - West,Bingara,-29.86847628,150.5719786,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Inverell - Tenterfield,Tenterfield,Tenterfield,-29.05397,152.01886,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Moree - Narrabri,Moree,Moree,-29.463707,149.841947,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Moree - Narrabri,Moree Surrounds,Mungindi (NSW),-28.97645392,148.9894168,Remote Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Tamworth - Gunnedah,Quirindi,Quirindi,-31.506613,150.679869,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Tamworth - Gunnedah,Tamworth - North,Tamworth,-31.089756,150.929255,Inner Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Tamworth - Gunnedah,Tamworth Surrounds,Manilla,-30.747293,150.719859,Outer Regional Australia,1
30/06/2024,AUS,21087650360,Regional Australia Bank Ltd,ATMs,NSW,New England and North West,Tamworth - Gunnedah,Tamworth Surrounds,Barraba,-30.378112,150.61031,Outer Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,Adelaide,-34.9245589,138.6008138,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,ACT,Australian Capital Territory,North Canberra,Civic,City,-35.279304,149.131712,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - East,Capalaba,Capalaba,Capalaba,-27.523628,153.190202,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - North,Chermside,Aspley,Aspley,-27.361953,153.013155,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - North,Chermside,Chermside,Chermside,-27.385905,153.030999,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - South,Carindale,Cannon Hill,Cannon Hill,-27.469602,153.096411,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - South,Carindale,Carindale,Carindale,-27.503727,153.101287,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - South,Holland Park - Yeronga,Greenslopes,Stones Corner,-27.498634,153.046639,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - South,Mt Gravatt,Upper Mount Gravatt,Upper Mount Gravatt,-27.5629423,153.0843417,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - South,Nathan,Robertson,Sunnybank,-27.5701367,153.0626455,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - West,Centenary,Jindalee - Mount Ommaney,Mount Ommaney,-27.549648,152.937305,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - West,Sherwood - Indooroopilly,Indooroopilly,Indooroopilly,-27.499459,152.972941,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane - West,The Gap - Enoggera,Mitchelton,Mitchelton,-27.408922,152.979645,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner,Brisbane City,Brisbane City,-27.46909,153.02278,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner,Brisbane City,Brisbane City,-27.467645,153.026299,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner,New Farm,New Farm,-27.467454,153.046904,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Cairns,Cairns - North,Trinity Beach - Smithfield,Smithfield (Qld),-16.837191,145.691775,Outer Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Cairns,Cairns - South,Cairns City,Cairns City,-16.924249,145.770915,Outer Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Cairns,Innisfail - Cassowary Coast,Innisfail,Innisfail,-17.52412,146.02947,Outer Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Central Queensland,Central Highlands (Qld),Emerald,Emerald (Qld),-23.526354,148.162283,Outer Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Central Queensland,Gladstone,West Gladstone,West Gladstone,-23.855127,151.249312,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Central Queensland,Rockhampton,Park Avenue,Park Avenue,-23.3531891,150.5225323,Inner Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Darling Downs - Maranoa,Darling Downs - East,Wambo,Dalby,-27.182563,151.265402,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Darling Downs - Maranoa,Darling Downs (West) - Maranoa,Roma,Roma,-26.573408,148.790256,Outer Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Darling Downs - Maranoa,Granite Belt,Warwick,Warwick (Qld),-28.215282,152.032951,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Far West and Orana,Dubbo,Dubbo - South,Dubbo,-32.248838,148.601576,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Gold Coast,Broadbeach - Burleigh,Broadbeach Waters,Broadbeach Waters,-28.036218,153.428822,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Gold Coast,Broadbeach - Burleigh,Burleigh Waters,Burleigh Waters,-28.097736,153.440739,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Gold Coast,Gold Coast - North,Runaway Bay,Runaway Bay,-27.913761,153.402739,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Gold Coast,Ormeau - Oxenford,Helensvale,Helensvale,-27.929014,153.336452,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Gold Coast,Robina,Robina - West,Robina,-28.0761009,153.3863919,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,TAS,Hobart,Hobart Inner,Hobart,Hobart,-42.881576,147.326537,Inner Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Ipswich,Ipswich Inner,North Ipswich - Tivoli,North Ipswich,-27.607851,152.759976,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Logan - Beaudesert,Browns Plains,Browns Plains,Browns Plains (Qld),-27.6639297,153.0410136,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Logan - Beaudesert,Browns Plains,Greenbank Military Camp,Greenbank,-27.644827,152.936326,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Logan - Beaudesert,Loganlea - Carbrook,Shailer Park,Shailer Park,-27.659156,153.172139,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Logan - Beaudesert,Springwood - Kingston,Springwood,Springwood (Qld),-27.6116,153.1233,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Mackay - Isaac - Whitsunday,Mackay,Mackay,Mackay,-21.139189,149.17703,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Mackay - Isaac - Whitsunday,Mackay,Mackay,Mackay,-21.138968,149.176882,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,VIC,Melbourne - Inner,Melbourne City,Melbourne CBD - East,Melbourne,-37.816,144.9662,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,VIC,Melbourne - Inner,Melbourne City,Melbourne CBD - West,Melbourne,-37.818082,144.957057,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Moreton Bay - North,Caboolture,Caboolture - South,Morayfield,-27.101326,152.950266,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Moreton Bay - North,Redcliffe,Rothwell - Kippa-Ring,Kippa-Ring,-27.222529,153.082372,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Moreton Bay - South,North Lakes,North Lakes,North Lakes,-27.242701,153.020802,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,New England and North West,Moree - Narrabri,Moree,Moree,-29.463275,149.839942,Outer Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,New England and North West,Tamworth - Gunnedah,Tamworth - North,Tamworth,-31.09093,150.929663,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Newcastle and Lake Macquarie,Lake Macquarie - East,Charlestown - Dudley,Charlestown (NSW),-32.963921,151.693767,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,WA,Perth - Inner,Perth City,Perth (West) - Northbridge,Perth (WA),-31.955108,115.8573,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Queensland - Outback,Outback - North,Mount Isa,Mount Isa City,-20.725403,139.494907,Remote Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Queensland - Outback,Outback - South,Longreach,Longreach (Qld),-23.442137,144.248264,Very Remote Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Richmond - Tweed,Tweed Valley,Tweed Heads South,Tweed Heads South,-28.201055,153.54411,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Riverina,Wagga Wagga,Wagga Wagga - West,Wagga Wagga,-35.114478,147.369557,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Sunshine Coast,Caloundra,Buddina - Minyama,Buddina,-26.7029,153.130418,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Sunshine Coast,Caloundra,Caloundra - Kings Beach,Caloundra,-26.804625,153.130221,Major Cities of Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Sunshine Coast,Maroochy,Maroochydore - Kuluin,Maroochydore,-26.6569,153.090973,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Sunshine Coast,Maroochy,Maroochydore - Kuluin,Maroochydore,-26.655992,153.088742,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Sunshine Coast,Noosa,Noosaville,Noosaville,-26.415207,153.04764,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Sunshine Coast,Noosa,Noosaville,Noosaville,-26.4151,153.047979,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - Baulkham Hills and Hawkesbury,Baulkham Hills,Castle Hill - North,Castle Hill (NSW),-33.729311,151.007293,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - City and Inner South,Sydney Inner City,Sydney (North) - Millers Point,Sydney,-33.869647,151.207622,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - City and Inner South,Sydney Inner City,Sydney (North) - Millers Point,Sydney,-33.8668809,151.2025732,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - City and Inner South,Sydney Inner City,Sydney (North) - Millers Point,Sydney,-33.865679,151.202833,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - Eastern Suburbs,Eastern Suburbs - North,Bondi Junction - Waverly,Bondi Junction,-33.892298,151.249581,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - Inner West,Strathfield - Burwood - Ashfield,Burwood (NSW),Burwood (NSW),-33.874996,151.106112,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - Northern Beaches,Warringah,Freshwater - Brookvale,Brookvale,-33.768023,151.266,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,NSW,Sydney - Parramatta,Parramatta,Parramatta - South,Parramatta,-33.823053,151.004316,Major Cities of Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Toowoomba,Toowoomba,Toowoomba - Central,Toowoomba City,-27.561392,151.952191,Inner Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Townsville,Townsville,Aitkenvale,Aitkenvale,-19.2992211,146.7634533,Outer Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Townsville,Townsville,Hyde Park - Pimlico,Pimlico (Qld),-19.27141,146.79021,Outer Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,VIC,Warrnambool and South West,Warrnambool,Warrnambool - South,Warrnambool,-38.383949,142.484741,Inner Regional Australia,1
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Wide Bay,Bundaberg,Bundaberg,Bundaberg Central,-24.871116,152.349664,Inner Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Wide Bay,Gympie - Cooloola,Gympie - North,Gympie,-26.198938,152.667895,Inner Regional Australia,2
30/06/2024,AUS,66010831722,Suncorp-Metway Limited,ATMs,QLD,Wide Bay,Hervey Bay,Pialba - Eli Waters,Urraween,-25.288086,152.833725,Inner Regional Australia,2
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,ACT,Australian Capital Territory,Belconnen,Belconnen,Belconnen,-35.24001763,149.0721071,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,ACT,Australian Capital Territory,Weston Creek,Stirling,Stirling (ACT),-35.3487,149.04922,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,QLD,Brisbane Inner City,Brisbane Inner,West End,West End (Brisbane - Qld),-27.47591,153.0091,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,VIC,Melbourne - Inner,Melbourne City,North Melbourne,North Melbourne,-37.80045,144.95542,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,WA,Perth - Inner,Perth City,Perth (West) - Northbridge,West Perth,-31.946,115.84305,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,NSW,Sydney - Blacktown,Mount Druitt,Rooty Hill - Minchinbury,Rooty Hill,-33.77253,150.843369,Major Cities of Australia,2
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,NSW,Sydney - City and Inner South,Sydney Inner City,Surry Hills,Surry Hills,-33.88157,151.20989,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,NSW,Sydney - City and Inner South,Sydney Inner City,Sydney (North) - Millers Point,Sydney,-33.86757,151.20567,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,NSW,Sydney - Inner South West,Bankstown,Greenacre - North,Greenacre,-33.90032,151.06765,Major Cities of Australia,1
30/06/2024,AUS,30087650459,Teachers Mutual Bank Limited,ATMs,NSW,Sydney - Inner West,Strathfield - Burwood - Ashfield,Homebush,Homebush (NSW),-33.864021,151.084686,Major Cities of Australia,2
30/06/2024,CU,54087650940,The Capricornian Ltd,ATMs,QLD,Central Queensland,Central Highlands (Qld),Emerald,Emerald (Qld),-23.526273,148.163399,Outer Regional Australia,1
30/06/2024,CU,54087650940,The Capricornian Ltd,ATMs,QLD,Central Queensland,Gladstone,Agnes Water - Miriam Vale,Miriam Vale,-24.328047,151.561256,Outer Regional Australia,1
30/06/2024,CU,54087650940,The Capricornian Ltd,ATMs,QLD,Central Queensland,Rockhampton,Rockhampton City,Rockhampton City,-23.380018,150.515089,Inner Regional Australia,1
30/06/2024,CU,54087650940,The Capricornian Ltd,ATMs,QLD,Central Queensland,Rockhampton,Yeppoon,Yeppoon,-23.129138,150.747307,Inner Regional Australia,1
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Darwin,Darwin Suburbs,Brinkin - Nakara,Casuarina (NT),-12.375665,130.878612,Outer Regional Australia,1
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Daly - Tiwi - West Arnhem,Daly,Nganmarriyanga,-14.33498,129.88349,Very Remote Australia,2
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Daly - Tiwi - West Arnhem,Thamarrurr,Wadeye,-14.24133,129.52087,Remote Australia,3
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Daly - Tiwi - West Arnhem,West Arnhem,Gunbalanya,-12.325537,133.055034,Remote Australia,2
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Daly - Tiwi - West Arnhem,West Arnhem,Warruwi,-11.657862,133.378254,Very Remote Australia,1
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,East Arnhem,East Arnhem,Gapuwiyak,-12.5032,135.8057,Very Remote Australia,2
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,East Arnhem,East Arnhem,Ramingining,-12.333069,134.927518,Very Remote Australia,3
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,East Arnhem,East Arnhem,Milingimbi,-12.105448,134.919786,Very Remote Australia,2
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,East Arnhem,East Arnhem,Galiwinku,-12.024436,135.573074,Very Remote Australia,2
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Katherine,Gulf,Borroloola,-16.056717,136.307791,Very Remote Australia,2
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Katherine,Gulf,Miniyeri,-15.225437,134.079781,Very Remote Australia,1
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Katherine,Gulf,Numbulwar,-14.278425,135.740083,Very Remote Australia,2
30/06/2024,CU,50087650922,Traditional Credit Union Limited,ATMs,NT,Northern Territory - Outback,Katherine,Victoria River,Kalkarindji,-17.447498,130.834786,Very Remote Australia,2
30/06/2024,AUS,44087651769,Victoria Teachers Limited,ATMs,VIC,Melbourne - Inner East,Boroondara,Hawthorn East,Hawthorn East,-37.828362,145.053528,Major Cities of Australia,1
30/06/2024,CU,98087651116,Warwick Credit Union Ltd,ATMs,QLD,Darling Downs - Maranoa,Darling Downs - East,Wambo,Dalby,-27.1833,151.2637,Inner Regional Australia,1
30/06/2024,CU,98087651116,Warwick Credit Union Ltd,ATMs,QLD,Darling Downs - Maranoa,Darling Downs (West) - Maranoa,Inglewood - Waggamba,Inglewood (Qld),-28.4159,151.0797,Outer Regional Australia,1
30/06/2024,CU,98087651116,Warwick Credit Union Ltd,ATMs,QLD,Darling Downs - Maranoa,Granite Belt,Southern Downs - East,Killarney (Qld),-28.3328,152.2956,Outer Regional Australia,1
30/06/2024,CU,98087651116,Warwick Credit Union Ltd,ATMs,QLD,Darling Downs - Maranoa,Granite Belt,Southern Downs - West,Allora,-28.036,151.9851,Inner Regional Australia,1
30/06/2024,CU,98087651116,Warwick Credit Union Ltd,ATMs,QLD,Darling Downs - Maranoa,Granite Belt,Warwick,Warwick (Qld),-28.2144,152.0351,Inner Regional Australia,1
