Period,Service Channel Type,State,sa4_code,sa3_code,sa2_code,Suburb,Lat,Lon,ra_code
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Campbelltown (SA),Rostrevor - Magill,Rostrevor,-34.888203,138.688801,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,Norwood (SA),Norwood (SA),-34.927569,138.626931,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,Norwood (SA),Norwood (SA),-34.92066334,138.6356742,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,Payneham - Felixstow,Firle,-34.90492533,138.656272,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,Payneham - Felixstow,Felixstow,-34.89008078,138.654291,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,St Peters - Marden,Stepney,-34.90936541,138.6287218,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,St Peters - Marden,Marden,-34.89575381,138.6384971,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Prospect - Walkerville,Prospect,Prospect (SA),-34.88483313,138.593513,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Prospect - Walkerville,Prospect,Prospect (SA),-34.87553882,138.6008906,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Prospect - Walkerville,Walkerville,Walkerville (SA),-34.896527,138.616046,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Prospect - Walkerville,Walkerville,Walkerville (SA),-34.88925508,138.6144107,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Unley,Goodwood - Millswood,Black Forest,-34.9633079,138.573085,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Unley,Goodwood - Millswood,Hyde Park (SA),-34.954558,138.600368,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Unley,Goodwood - Millswood,Goodwood (SA),-34.951918,138.589297,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Unley,Unley - Parkside,Highgate (SA),-34.96066001,138.6259949,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Unley,Unley - Parkside,Unley,-34.95083912,138.6061414,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - Central and Hills,Unley,Unley - Parkside,Fullarton,-34.94781698,138.6263835,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Gawler - Two Wells,Gawler - North,Willaston,-34.587758,138.743035,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Gawler - Two Wells,Gawler - North,Roseworthy,-34.533709,138.747237,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Gawler - Two Wells,Gawler - South,Gawler (SA),-34.599391,138.748083,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Gawler - Two Wells,Lewiston - Two Wells,Two Wells,-34.594785,138.515115,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Craigmore - Blakeview,Craigmore,-34.70854649,138.7063318,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Davoren Park,Davoren Park,-34.69671224,138.6655381,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Elizabeth,Elizabeth Vale,-34.74822142,138.6677918,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Elizabeth,Elizabeth South,-34.73231035,138.6612277,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Elizabeth,Elizabeth,-34.718637,138.670052,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Elizabeth East,Elizabeth Park,-34.71011663,138.6850461,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Munno Para West - Angle Vale,Munno Para,-34.671678,138.679928,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,One Tree Hill,One Tree Hill,-34.719219,138.765521,Inner Regional Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Smithfield - Elizabeth North,Smithfield (SA),-34.687956,138.688616,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Playford,Virginia - Waterloo Corner,Virginia (SA),-34.66655432,138.5606102,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Enfield - Blair Athol,Kilburn,-34.86306201,138.5828597,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - North,Port Adelaide - East,Enfield - Blair Athol,Kilburn,-34.86144652,138.5921,Major Cities of Australia
